Title	Authors	YearOfPublication	CitedBy
Mining text data	CC Aggarwal, CX Zhai	2012	1381
Text mining infrastructure in R	D Meyer, K Hornik, I Feinerer	2008	1226
Survey of text mining	MW Berry, M Castellanos	2004	1002
Text mining: The state of the art and the challenges	AH Tan	1999	941
A brief survey of text mining.	A Hotho, A Nürnberger, G Paaß	2005	1060
Practical text mining and statistical analysis for non-structured text data applications	G Miner, J Elder IV, A Fast, T Hill, R Nisbet, D Delen	2012	576
Text mining application programming	M Konchady	2006	228
The text mining handbook: advanced approaches in analyzing unstructured data	R Feldman, J Sanger	2007	3052
What is text mining	M Hearst	2003	295
A survey of current work in biomedical text mining	AM Cohen, WR Hersh	2005	927
